"type1","type2","wind_34_down","wind_34_50","wind_50_64","wind_64_up","node1","node2","node3","node4","node5","node6","node7","node8","node9","SVI","population","homeownership_rate","hwm","wind_50_up"
3,1,2,7,0,0,123.097312580334,121.074605857624,102.695786517746,91.3216499136392,86.3279180042203,87.8515025220869,83.950953481332,82.7348898012374,89.5616776767247,0.9443,24470,66.63542,5.98,0
46,25,5,2,2,0,90.575602236581,98.2889683570001,117.710312389114,135.570997526461,161.904925096989,173.361458941502,184.818623786597,200.787717983554,225.881597821454,0.7156,47056,70.3009,4.62,2
133,92,0,4,3,2,45.3459312584007,45.1908810679691,37.8338070146095,44.5377841562042,66.0698391791035,76.7656803092492,86.6482862590815,101.759188498284,126.932734785604,0.9446,33151,71.20935,11.42,5
243,210,1,3,3,2,23.1206032008735,16.9048893812819,9.1435253936586,29.8567817959233,57.5189317315565,69.1046262412136,82.9975732487164,102.00153471334,131.04917492599,0.3583,136880,77.84835,10.38,5
327,196,4,3,1,1,68.2328816382869,75.7657369751872,99.9016393142633,120.221614520549,147.914934675762,159.578958890227,172.915777016851,191.060311858598,218.842699621826,0.4255,69438,72.96847,4.2,2
4,2,3,6,0,0,115.337521304605,117.252308389859,110.71663505737,110.679175308214,120.417679759118,126.987300141179,129.247324632181,134.765256492293,147.695593355411,0.3809,73127,75.85383,0,0
216,176,0,3,3,3,42.6804139360489,38.8470236027078,20.3963053225259,23.1355256580728,46.7994392492145,58.1193602235845,69.736907180096,86.8352533614232,114.231020211862,0.9481,55819,72.02356,5.84,6
434,503,4,3,1,1,65.6588338442255,73.3995232708895,93.5676522967048,112.097241825592,138.958374566844,150.536270812461,162.596503201287,179.338179370451,205.489371536194,0.8099,102338,63.02079,6.95,2
140,75,1,6,2,0,72.0304381522215,73.225655419999,66.5122378487411,69.0741198076087,84.4032275837912,93.273421159678,99.5794008187095,110.578931209786,131.049463988862,0.864,333430,53.13829,8.9,2
168,388,2,4,1,2,44.7656445724771,50.3173999649773,60.875119091418,75.7096874254683,100.663873151113,111.879219660245,122.717710551998,138.350506948065,163.533677673346,0.979,58991,68.8348,10,3
10,5,5,4,0,0,122.419153581502,125.921346003145,124.633936814239,128.472920229253,141.985507380694,149.64982195966,153.378947753563,160.35474458145,174.520635935236,0.6197,316979,55.98222,0,0
2,0,3,4,2,0,77.497570007578,83.9994153529484,96.1798794618486,110.309074307632,134.077747432739,144.920331421708,154.615624220118,168.714174241572,191.762411392355,0.9924,21106,69.95161,1.96,2
6,2,9,0,0,0,149.422223932588,150.980768582494,142.488209695505,139.790042652429,145.07354148463,149.748723863686,149.069910930756,150.442269859464,157.19338564513,0.6369,532607,60.89053,0,0
51,21,1,8,0,0,87.893135426173,90.0667930024338,85.5006079302793,88.3715703636283,102.57133322969,110.838383127369,115.910603334049,125.124845691877,143.041004375842,0.7869,134336,62.83905,2.2,0
18,10,0,9,0,0,86.4491113141149,86.1770203944974,73.9098903497899,70.5950912967784,79.2699222496414,86.2135110975669,89.6847818654296,97.7133813841408,115.256887504278,0.8924,54695,69.03151,0,0
18,5,6,3,0,0,110.62097474962,118.410301075671,140.465607259386,159.608755943128,186.721092320243,198.336323257958,210.556473950795,227.336847260505,253.324278241376,0.8627,5026,61.41832,0,0
13,0,2,7,0,0,83.9978361095455,88.283983646376,91.2666949323683,99.6028679133208,118.661473381452,128.24684134018,135.409726178836,146.76518848366,166.783153460336,0.5395,202692,70.98368,8,0
88,193,3,3,2,1,54.0818360752967,61.629050134838,80.3239762004639,98.3695909332503,125.015283019712,136.557684915642,148.467881054526,165.103566831038,191.213816053849,0.8761,9613,70.31968,6.55,3
13,4,1,8,0,0,102.260973644175,103.81004720782,96.5325160304101,96.4659276305655,106.91530359029,113.905602975895,116.955104225217,123.708381401097,138.610484227941,0.8481,61208,66.74834,0,0
40,25,3,3,2,1,62.9442725758694,69.6508113343518,83.4035742750708,98.8389150428941,123.763937628861,134.922391781217,145.492015901076,160.649259731626,185.050306609056,0.9933,55990,58.75814,5.12,3
17,28,1,8,0,0,106.560796979024,106.796640781303,95.2274964100473,91.2626105745928,97.246271065872,102.846346492993,104.047728834459,108.836215123252,121.854894661642,0.3621,98805,76.30551,4.82,0
266,241,1,4,2,2,4.64971508143026,8.02020302963516,29.2186331221326,49.7823006649742,77.4981372645984,89.1162442528994,102.849157555304,121.613138268722,150.334636131261,0.3771,232256,59.93818,5.67,4
363,260,2,4,1,2,36.8226175443714,44.5273690202329,65.1488150432571,84.3569556736462,111.682374047692,123.340541833593,136.034249770766,153.583333600507,180.819374784154,0.7465,196915,54.54368,8.04,3
6,3,5,4,0,0,129.365284222021,132.313946233218,128.892442560334,130.883116758915,142.225713486742,149.14154228353,151.711351901719,157.253978688836,169.582180140889,0.2959,147980,64.4917,0,0
87,68,5,2,2,0,77.2057234886269,85.0011898426557,107.111824144193,126.462586928838,153.747663966413,165.395374447953,177.912359388015,195.119043300586,221.756054185854,0.7162,12633,75.72783,5.92,2
301,501,1,4,2,2,20.2117750504885,25.540465522577,40.0020131112096,58.2277991247577,85.3202611799209,96.9574616258529,109.53319499944,127.09952364701,154.52288024421,0.5478,62017,80.59345,7.02,4
11,1,4,3,2,0,86.3533542294237,93.4466014625456,108.34479701894,123.780516537439,148.403945178799,159.445849234767,169.604746971618,184.141873269332,207.58244774773,0.8242,179575,54.27434,0,2
17,5,1,8,0,0,107.884454713573,106.481920545068,90.0969610251044,81.421300712598,81.6036697137859,85.4212701332216,84.5690818898198,87.460330884339,99.3733842395053,0.9796,44888,66.35657,8.7,0
